ranking,vElf #,background,skin,eyes,mouth,clothes,hair,headwear,Rarity
66,6032,Light Yellow,Green,3D Glasses,Shocked,Green Brassiere,White Pullback,Silver Circlet,RARE
67,1683,Light Blue,Blue,Pink Eyes,Gritting Teeth,Blue Halterneck,Black Straight Bob,Flower Crown,RARE
68,2986,Greyish Blue,Green,Fiery Eyes,Confused,Black Cami,Red Wavy,Flower Crown,RARE
69,2761,Light Yellow,Yellow,Green Angry Eyes,Pink Plump Lips,Red Asymmetric Dress,Red Wavy,Flower Crown,RARE
70,7163,Graveyard,Yellow,Blue Sleepy Eyes,Gritting Teeth,Black Cape,Red Braid,Silver Circlet,RARE
71,2976,Light Pink,Brown,Fiery Eyes,Shocked,Brown Cami,Red Pullback,Silver Circlet,RARE
72,5868,Purple Clouds,Brown,Crying Eyes,Stuck Out Tongue,Black Cami,Brown Wavy,Silver Circlet,RARE
73,5767,Graveyard,Yellow,Grey Dewy Eyes,Shocked,Brown Cami,Red Pullback,Silver Circlet,RARE
74,514,Aftermath,Brown,Green Angry Eyes,Confused,Red Asymmetric Dress,Black Wavy,Flower Crown,RARE
75,3072,Light Pink,Yellow,Blue Sleepy Eyes,Black Mask,Green Brassiere,Black Straight,Silver Circlet,RARE
76,6227,Light Yellow,Brown,3D Glasses,Black Mask,Brown Horseskin,Black Straight,Silver Circlet,RARE
77,6134,Light Purple,Peach,Scarred Eyes,Shocked,Black Cape,Layered Purple,Silver Circlet,RARE
78,7713,VeSea,Green,Blue Angry Eyes,Kissy Lips,Brown Offshoulder,Brown Spacebuns,Silver Circlet,RARE
79,4001,Light Pink,Green,Pink Eyes,Gritting Teeth,Black with Chains,Red Braid,Silver Circlet,RARE
80,6299,VeSea,Brown,Eye Patch,Pink Plump Lips,Battle Armor,Black White Straight,Silver Circlet,RARE
81,4629,Greyish Blue,Yellow,Green Slanted Eyes,Small Smile,Red Dress,Red Wavy,Flower Crown,RARE
82,4313,Greyish Blue,Blue,Eye Patch,Black Mask,Blue Halterneck,Brown Spacebuns,Flower Crown,RARE
83,1265,Light Yellow,Peach,Fiery Eyes,Big Grin,Blue Dress,Black Wavy,Silver Circlet,RARE
84,943,Aftermath,Green,Rolled Eyes,Slightly Open,Black Cape,Brown Spacebuns,Silver Circlet,RARE
85,5291,Light Yellow,Blue,Blue Angry Eyes,Upset,Battle Armor,White Braid,Silver Circlet,RARE
86,7316,Light Purple,Blue,Blue Angry Eyes,Black Mask,Black Cami,White Braid,Silver Circlet,RARE
87,2386,Light Yellow,Yellow,Rolled Eyes,Confused,Red Cami,Brown Wavy,Silver Circlet,RARE
88,6323,Light Turquoise,Green,Icy Eyes,Small Smile,Red Dress,Black Pullback,Silver Circlet,RARE
89,6238,Graveyard,Brown,3D Glasses,Gritting Teeth,Battle Armor,Red Straight,Silver Circlet,RARE
90,3404,Graveyard,Yellow,Heart Eyes,Small Smile,Black Plunge Dress,Red Pullback,Silver Circlet,RARE
91,3817,Purple Clouds,Green,3D Glasses,Small Smile,Checkered Brassiere,Red Pullback,Cat Ears,RARE
92,7389,Light Yellow,Blue,Icy Eyes,Pink Plump Lips,White Cape,Red Pullback,Silver Circlet,RARE
93,6726,Rainbow,Blue,Crying Eyes,Shocked,Black Cami,White Pullback,Silver Circlet,RARE
94,5009,Blue Clouds,Green,Deal With It,Confused,White Cape,Brown Straight Bob,Silver Circlet,RARE
95,3883,Light Yellow,Yellow,Fiery Eyes,Confused,Red Asymmetric Dress,Brown Spacebuns,Cat Ears,RARE
96,3944,Light Yellow,Blue,Grey Dewy Eyes,Big Grin,Green Brassiere,Brown Wavy,Flower Crown,RARE
97,5558,Light Red,Brown,Blue Sleepy Eyes,Black Mask,Red Asymmetric Dress,Pixie Cut,Silver Circlet,RARE
98,930,Up Only,Yellow,Eye Patch,Shocked,Checkered Brassiere,Black Straight Bob,Silver Circlet,RARE
99,5028,Light Brown,Green,VeChain Visor,Shocked,Black Plunge Dress,Black White Straight,Silver Circlet,RARE
100,7225,Light Pink,Yellow,Crying Eyes,Pink Plump Lips,Checkered Brassiere,White Pullback,Silver Circlet,RARE
101,4042,Light Turquoise,Blue,Diamond Eyes,Black Mask,Blue Halterneck,Black Straight Bob,Flower Crown,RARE
102,1540,Rainbow,Green,VeChain Visor,Small Smile,White Asymmetric Dress,Layered Purple,Silver Circlet,RARE
103,3213,Blue Clouds,Green,Eye Patch,Upset,Black Cape,Pixie Cut,Silver Circlet,RARE
104,1401,Rainbow,Yellow,Fiery Eyes,Pink Plump Lips,Checkered Brassiere,Brown Wavy,Devil Horns,RARE
105,3586,Light Green,Blue,Pink Eyes,Shocked,Orange Brassiere,Black Straight,Silver Circlet,RARE
106,6889,Forest,Green,Crying Eyes,Confused,Red Dress,White Braid,Flower Crown,RARE
107,1254,Rainbow,Blue,Deal With It,Confused,Brown Horseskin,Layered Purple,Silver Circlet,RARE
108,1206,Light Purple,Brown,Pink Eyes,Stuck Out Tongue,Black Horseskin,White Pullback,Silver Circlet,RARE
109,3036,Aftermath,Yellow,Bug Eyes,Small Smile,Red Cami,Layered Purple,Silver Circlet,RARE
110,3565,Light Blue,Yellow,Blue Dewy Eyes,Shocked,Black Plunge Dress,Black Straight,Silver Circlet,RARE
111,1207,Light Red,Blue,Blue Sleepy Eyes,Confused,Battle Armor,Black Wavy,Silver Circlet,RARE
112,1390,Light Blue,Brown,Fiery Eyes,Stuck Out Tongue,Blue Halterneck,Red Wavy,Devil Horns,RARE
113,2253,Graveyard,Blue,Green Angry Eyes,Gritting Teeth,Checkered Brassiere,Red Pullback,Flower Crown,RARE
114,1153,Light Brown,Green,Green Angry Eyes,Stuck Out Tongue,Blue Brassiere,Pink Short Tiedback,Silver Circlet,RARE
115,4559,Light Turquoise,Peach,Grey Dewy Eyes,Stuck Out Tongue,Green Brassiere,Red Pullback,Cat Ears,RARE
116,5184,Light Yellow,Green,Grey Dewy Eyes,Stuck Out Tongue,Black with Chains,Red Wavy,Flower Crown,RARE
117,1446,Blue Clouds,Brown,VeChain Visor,Pink Thin Lips,Black Cami,Brown Wavy,Silver Circlet,RARE
118,1157,Light Purple,Peach,Bug Eyes,Big Grin,Black Cami,Black White Straight,Silver Circlet,RARE
119,5878,Light Red,Yellow,Green Angry Eyes,Confused,Red Asymmetric Dress,Red Wavy,Flower Crown,RARE
120,6874,VeSea,Brown,Grey Dewy Eyes,Slightly Open,Brown Cami,Blonde Spacebuns,Silver Circlet,RARE
121,2047,Forest,Yellow,Crying Eyes,Kissy Lips,Black Cami,Pixie Cut,Silver Circlet,RARE
122,4738,Purple Clouds,Yellow,Heart Eyes,Big Grin,Blue Halterneck,Black Wavy,Cat Ears,RARE
123,4566,Light Yellow,Brown,Grey Dewy Eyes,Small Smile,Red Dress,Blue Wavy Bob,Flower Crown,RARE
124,5996,Purple Clouds,Yellow,VeChain Visor,Pink Thin Lips,Green Brassiere,Layered Purple,Flower Crown,RARE
125,7379,Light Brown,Green,3D Glasses,Kissy Lips,White Asymmetric Dress,Red Straight,Silver Circlet,RARE
126,369,Light Orange,Green,Deal With It,Pink Thin Lips,Black Cape,Black Straight,Flower Crown,RARE
127,424,Light Turquoise,Peach,Pink Eyes,Kissy Lips,Checkered Brassiere,Pixie Cut,Cat Ears,RARE
128,5269,Light Orange,Brown,Pink Eyes,Stuck Out Tongue,Red Cami,Red Pullback,Cat Ears,RARE
129,2393,VeSea,Brown,Heart Eyes,Upset,White Cami,Red Pullback,Silver Circlet,RARE
130,1220,Light Green,Brown,Pink Eyes,Shocked,Blue Halterneck,Brown Spacebuns,Cat Ears,RARE
131,7087,VeSea,Green,Rolled Eyes,Pink Plump Lips,Blue Halterneck,White Pullback,Flower Crown,RARE
132,2349,VeSea,Green,Grey Dewy Eyes,Pink Thin Lips,Black Cape,Black Wavy,Cat Ears,RARE
133,2181,Blue Clouds,Blue,Pink Eyes,Upset,Blue Halterneck,Red Pullback,Diadem,RARE
134,3664,Light Red,Yellow,Diamond Eyes,Kissy Lips,Checkered Brassiere,Red Pullback,Flower Crown,RARE
135,5470,Light Turquoise,Yellow,Fiery Eyes,Confused,Brown Horseskin,Red Braid,Flower Crown,RARE
136,3755,Graveyard,Blue,Crying Eyes,Stuck Out Tongue,White Cape,White Pullback,Silver Circlet,RARE
137,1607,Light Orange,Green,Bug Eyes,Big Grin,Blue Brassiere,Blonde Spacebuns,Silver Circlet,RARE
138,7542,Graveyard,Brown,Fiery Eyes,Pink Plump Lips,Green Brassiere,Black Pullback,Cat Ears,RARE
139,6055,VeSea,Brown,Blue Angry Eyes,Stuck Out Tongue,Blue Brassiere,Black Straight Bob,Flower Crown,RARE
140,4391,VeSea,Brown,Blue Sleepy Eyes,Upset,Green Brassiere,Pixie Cut,Flower Crown,RARE
141,6062,Light Green,Blue,Heart Eyes,Gritting Teeth,Red Cami,Red Braid,Silver Circlet,RARE
142,7484,Light Blue,Blue,Crying Eyes,Slightly Open,Black Plunge Dress,White Pullback,Silver Circlet,RARE
143,3701,Aftermath,Yellow,Blue Dewy Eyes,Big Grin,White Asymmetric Dress,Brown Straight Bob,Silver Circlet,RARE
144,6001,Rainbow,Brown,Fiery Eyes,Pink Thin Lips,White Asymmetric Dress,Red Straight,Flower Crown,RARE
145,6645,Light Orange,Yellow,Fiery Eyes,Slightly Open,Red Asymmetric Dress,Red Pullback,Diadem,RARE
146,3814,Light Turquoise,Brown,Blue Dewy Eyes,Gritting Teeth,Black Plunge Dress,Layered Purple,Silver Circlet,RARE
147,4174,Light Yellow,Green,Eye Patch,Slightly Open,Brown Horseskin,Pink Short Tiedback,Silver Circlet,RARE
148,1608,Rainbow,Peach,Fiery Eyes,Big Grin,Brown Brassiere,Blonde Spacebuns,Silver Circlet,RARE
149,6435,Light Yellow,Green,Fiery Eyes,Pink Plump Lips,Brown Horseskin,Brown Wavy,Flower Crown,RARE
150,1045,Blue Clouds,Brown,Rolled Eyes,Big Grin,White Asymmetric Dress,Red Wavy,Silver Circlet,RARE
151,170,Purple Clouds,Brown,Crying Eyes,Stuck Out Tongue,Blue Dress,Red Straight,Silver Circlet,RARE
152,929,Graveyard,Blue,Deal With It,Gritting Teeth,White Asymmetric Dress,Pink Short Tiedback,Silver Circlet,RARE
153,3168,Light Red,Blue,Icy Eyes,Kissy Lips,Black Cape,Brown Straight Bob,Silver Circlet,RARE
154,942,Light Pink,Yellow,VeChain Visor,Pink Plump Lips,Black Plunge Dress,White Pullback,Silver Circlet,RARE
155,3994,Light Yellow,Brown,Fiery Eyes,Confused,Brown Cami,Black Pullback,Flower Crown,RARE
156,3647,Light Orange,Blue,Blue Dewy Eyes,Big Grin,Red Asymmetric Dress,Brown Spacebuns,Flower Crown,RARE
157,1112,Light Pink,Brown,VeChain Visor,Shocked,Black Cape,Brown Wavy,Flower Crown,RARE
158,1074,Light Pink,Yellow,Green Slanted Eyes,Confused,Blue Halterneck,Red Pullback,Cat Ears,RARE
159,4631,Light Green,Blue,Crying Eyes,Stuck Out Tongue,Checkered Brassiere,Black Straight Bob,Flower Crown,RARE
160,730,Greyish Blue,Green,Icy Eyes,Upset,Brown Horseskin,Red Wavy,Silver Circlet,RARE
161,6076,Aftermath,Yellow,Diamond Eyes,Slightly Open,Checkered Brassiere,Blonde Spacebuns,Flower Crown,RARE
162,7298,Light Orange,Green,Eye Patch,Kissy Lips,White Cape,Black Straight,Flower Crown,RARE
163,465,Forest,Brown,Purple Eyes,Black Mask,Green Brassiere,Red Straight,Silver Circlet,RARE
164,1752,Aftermath,Yellow,Deal With It,Pink Plump Lips,Red Cami,Red Wavy,Cat Ears,RARE
165,3461,Light Blue,Blue,Rolled Eyes,Small Smile,Black Plunge Dress,Pixie Cut,Silver Circlet,RARE
166,904,Light Green,Green,Fiery Eyes,Shocked,White Cape,Brown Spacebuns,Flower Crown,RARE
167,7564,Light Yellow,Peach,Green Slanted Eyes,Pink Plump Lips,Blue Brassiere,Pink Short Tiedback,Flower Crown,RARE
168,4310,Light Red,Brown,Fiery Eyes,Slightly Open,Black Cami,Blue Wavy Bob,Silver Circlet,RARE
169,2713,Forest,Green,Deal With It,Upset,Red Asymmetric Dress,Pixie Cut,Flower Crown,RARE
170,502,Light Purple,Blue,Green Angry Eyes,Pink Thin Lips,Black with Chains,Black Wavy,Flower Crown,RARE
171,2493,Forest,Yellow,Scarred Eyes,Confused,Black with Chains,Brown Wavy,Silver Circlet,RARE
172,1988,Light Red,Green,Heart Eyes,Shocked,Brown Cape,Pink Short Tiedback,Silver Circlet,RARE
173,3629,Light Yellow,Peach,Deal With It,Black Mask,Fluffy White Offshoulder,Blonde Spacebuns,Silver Circlet,RARE
174,7105,Purple Clouds,Blue,Pink Eyes,Big Grin,Brown Cape,Brown Wavy,Cat Ears,RARE
175,6149,Light Purple,Blue,Scarred Eyes,Stuck Out Tongue,Black with Chains,Red Pullback,Flower Crown,RARE
176,3627,Purple Clouds,Peach,Pink Eyes,Stuck Out Tongue,White Cape,Black Straight,Devil Horns,RARE
177,6854,Light Orange,Peach,Heart Eyes,Big Grin,Pink Brassiere,Brown Wavy,Silver Circlet,RARE
178,4990,Light Pink,Yellow,Blue Dewy Eyes,Stuck Out Tongue,Black with Chains,Black Wavy,Silver Circlet,RARE
179,5275,Light Brown,Yellow,Green Angry Eyes,Upset,Blue Halterneck,Brown Straight Bob,Cat Ears,RARE
180,6428,Aftermath,Blue,3D Glasses,Gritting Teeth,Orange Brassiere,Black Straight,Flower Crown,RARE
181,541,Light Purple,Blue,Pink Eyes,Small Smile,Red Cami,Brown Wavy,Devil Horns,RARE
182,33,VeSea,Peach,Icy Eyes,Pink Thin Lips,Brown Cape,Black White Straight,Silver Circlet,RARE
183,5687,Light Purple,Peach,Blue Sleepy Eyes,Black Mask,White Asymmetric Dress,Blue Wavy Bob,Silver Circlet,RARE
184,5840,Light Blue,Blue,Diamond Eyes,Stuck Out Tongue,Black Horseskin,Black Pullback,Silver Circlet,RARE
185,4172,Rainbow,Peach,Blue Sleepy Eyes,Big Grin,Blue Halterneck,Red Braid,VeChain Tiara,RARE
186,7217,Light Brown,Green,Blue Sleepy Eyes,Small Smile,Black Plunge Dress,Black Straight,Flower Crown,RARE
187,4817,Light Pink,Yellow,Purple Eyes,Big Grin,Black with Chains,Black Wavy,Silver Circlet,RARE
188,4654,Rainbow,Yellow,Scarred Eyes,Upset,Black Horseskin,Red Pullback,Flower Crown,RARE
189,2722,Graveyard,Blue,Green Angry Eyes,Upset,Red Cami,Pink Short Tiedback,Flower Crown,RARE
190,6083,Light Pink,Yellow,Icy Eyes,Pink Thin Lips,Blue Brassiere,Black Wavy,Silver Circlet,RARE
191,4349,Light Blue,Green,Pink Eyes,Pink Plump Lips,Checkered Brassiere,Red Pullback,VeChain Tiara,RARE
192,972,Blue Clouds,Yellow,Fiery Eyes,Small Smile,Brown Cami,Brown Straight Bob,Flower Crown,RARE
193,3859,Light Yellow,Peach,Pink Eyes,Pink Plump Lips,Red Dress,White Braid,VeChain Tiara,RARE
194,5559,Up Only,Peach,Blue Dewy Eyes,Kissy Lips,Black Plunge Dress,White Braid,Silver Circlet,RARE
195,1450,Up Only,Blue,Eye Patch,Upset,Brown Offshoulder,Red Straight,Silver Circlet,RARE
196,4976,Light Purple,Brown,Pink Eyes,Slightly Open,Brown Cami,Red Wavy,Cat Ears,RARE
197,6268,Forest,Green,VeChain Visor,Big Grin,Black with Chains,Brown Straight Bob,Flower Crown,RARE
198,6390,VeSea,Brown,Bug Eyes,Slightly Open,Orange Brassiere,Red Straight,Silver Circlet,RARE
199,2116,Greyish Blue,Brown,Green Angry Eyes,Pink Thin Lips,Brown Cape,Red Braid,Flower Crown,RARE
200,7715,Light Brown,Yellow,Bug Eyes,Big Grin,Blue Brassiere,White Pullback,Silver Circlet,RARE
201,3745,VeSea,Peach,Heart Eyes,Kissy Lips,Black with Chains,Black Straight Bob,Flower Crown,RARE
202,6916,Aftermath,Peach,Grey Dewy Eyes,Kissy Lips,White Cape,Brown Spacebuns,Cat Ears,RARE
203,6035,Light Purple,Blue,Eye Patch,Kissy Lips,Red Dress,Layered Purple,Devil Horns,RARE
204,3233,Light Turquoise,Brown,Scarred Eyes,Pink Thin Lips,Red Asymmetric Dress,Red Wavy,Cat Ears,RARE
205,4445,Aftermath,Green,Blue Sleepy Eyes,Big Grin,White Cape,Black Straight,Cat Ears,RARE
206,6882,Light Green,Peach,Crying Eyes,Slightly Open,Red Dress,Red Straight,Cat Ears,RARE
207,6493,Blue Clouds,Yellow,Rolled Eyes,Small Smile,White Cami,Red Wavy,Silver Circlet,RARE
208,5352,Light Brown,Green,Scarred Eyes,Black Mask,Blue Halterneck,Black Wavy,Cat Ears,RARE
209,1745,Light Pink,Brown,Pink Eyes,Stuck Out Tongue,Red Plunge Dress,Black Straight,Silver Circlet,RARE
210,1690,Purple Clouds,Yellow,3D Glasses,Slightly Open,Black Horseskin,Black Straight,Cat Ears,RARE
211,1268,Light Turquoise,Peach,Crying Eyes,Stuck Out Tongue,Pink Brassiere,Pink Short Tiedback,Flower Crown,RARE
212,3546,Rainbow,Yellow,Blue Angry Eyes,Pink Plump Lips,Brown Offshoulder,Blue Wavy Bob,Flower Crown,RARE
213,521,Greyish Blue,Peach,3D Glasses,Confused,Red Cami,White Braid,Devil Horns,RARE
214,947,VeSea,Peach,Icy Eyes,Stuck Out Tongue,Orange Brassiere,Brown Straight Bob,Silver Circlet,RARE
215,6945,Forest,Green,Crying Eyes,Pink Plump Lips,Black Cami,Red Straight,Flower Crown,RARE
216,2217,Light Yellow,Yellow,Pink Eyes,Black Mask,Pink Brassiere,Black Straight,Cat Ears,RARE
217,4549,Light Purple,Green,Heart Eyes,Kissy Lips,Brown Horseskin,White Pullback,Silver Circlet,RARE
218,3879,Light Purple,Brown,Icy Eyes,Black Mask,Blue Halterneck,White Braid,Cat Ears,RARE
219,5142,Light Purple,Blue,Heart Eyes,Gritting Teeth,Black Cape,Pink Short Tiedback,Cat Ears,RARE
220,5174,Aftermath,Green,Rolled Eyes,Pink Plump Lips,Black Cape,Blue Wavy Bob,Flower Crown,RARE
221,1519,Light Pink,Blue,Scarred Eyes,Kissy Lips,Fluffy White Offshoulder,Black Straight,Silver Circlet,RARE
222,4503,Light Red,Blue,Green Slanted Eyes,Slightly Open,Checkered Brassiere,Brown Straight Bob,Flower Crown,RARE
223,3774,Light Green,Brown,Deal With It,Stuck Out Tongue,White Asymmetric Dress,Black Pullback,Silver Circlet,RARE
224,4053,Light Blue,Brown,Blue Dewy Eyes,Black Mask,Red Asymmetric Dress,Black Straight,Cat Ears,RARE
225,2200,Greyish Blue,Brown,VeChain Visor,Confused,Blue Brassiere,Brown Wavy,Devil Horns,RARE
226,3818,Greyish Blue,Blue,Blue Angry Eyes,Pink Thin Lips,Blue Brassiere,Black Straight Bob,Cat Ears,RARE
227,6689,Light Turquoise,Green,Deal With It,Black Mask,Green Brassiere,Brown Spacebuns,Cat Ears,RARE
228,6589,Purple Clouds,Brown,VeChain Visor,Confused,Red Cami,Black Straight Bob,Devil Horns,RARE
229,402,VeSea,Blue,Bug Eyes,Big Grin,Blue Halterneck,Blonde Spacebuns,Devil Horns,RARE
230,5386,Light Orange,Brown,Crying Eyes,Black Mask,Blue Brassiere,Black Pullback,Cat Ears,RARE
231,4105,Light Blue,Blue,Grey Dewy Eyes,Shocked,Brown Horseskin,Pink Short Tiedback,Flower Crown,RARE
232,7450,Graveyard,Green,Pink Eyes,Stuck Out Tongue,Black Cape,Red Wavy,Diadem,RARE
233,2626,Rainbow,Peach,Scarred Eyes,Kissy Lips,Black Cape,Brown Spacebuns,Cat Ears,RARE
234,1677,Light Orange,Yellow,Blue Angry Eyes,Stuck Out Tongue,Brown Offshoulder,Black Pullback,Flower Crown,RARE
